0,1,2,3,4,5,6,7,8,9,10
112641.0,110592.0,88064.0,88064.0,88064.0,88064.0,88064.0,88064.0,88064.0,88064.0,88064.0
104452.0,104449.0,36864.0,36864.0,36864.0,36864.0,75777.0,75777.0,75777.0,75777.0,75777.0
115205.0,75777.0,104449.0,104449.0,104449.0,104449.0,59393.0,59393.0,59393.0,8195.0,8195.0
104454.0,8195.0,8195.0,8195.0,8195.0,8195.0,8195.0,8195.0,8195.0,96259.0,96259.0
94215.0,104451.0,104451.0,104451.0,104451.0,104451.0,114692.0,96259.0,96259.0,92165.0,92165.0
104455.0,92165.0,92165.0,92165.0,92165.0,92165.0,92165.0,92165.0,92165.0,30726.0,30726.0
96265.0,104454.0,104454.0,104454.0,114693.0,30726.0,30726.0,30726.0,30726.0,114693.0,114693.0
88580.0,94215.0,94215.0,94215.0,94215.0,94215.0,114693.0,114693.0,114693.0,114692.0,114692.0
114185.0,96263.0,96263.0,96263.0,96263.0,96263.0,106503.0,114692.0,114692.0,118793.0,118793.0
102926.0,104455.0,104455.0,118793.0,118793.0,118793.0,118793.0,118793.0,118793.0,106503.0,106503.0
47118.0,96265.0,96265.0,104455.0,104455.0,114693.0,96265.0,96265.0,96265.0,43016.0,43016.0
91151.0,104452.0,104452.0,96265.0,104454.0,104455.0,43016.0,106503.0,106503.0,51208.0,51208.0
35861.0,112643.0,112643.0,104452.0,96265.0,104454.0,51208.0,43016.0,43016.0,96278.0,96278.0
75299.0,47118.0,20493.0,106503.0,104452.0,96265.0,20493.0,20493.0,51208.0,116764.0,116764.0
118307.0,118828.0,47118.0,47118.0,47118.0,47118.0,108563.0,51208.0,96275.0,100391.0,100391.0
16938.0,106540.0,51208.0,20493.0,106503.0,106503.0,96275.0,108563.0,96278.0,43053.0,43053.0
106540.0,100405.0,96278.0,51208.0,20493.0,20493.0,96278.0,96275.0,116764.0,63534.0,63534.0
60461.0,38971.0,112678.0,108563.0,51208.0,43016.0,116764.0,96278.0,100391.0,114743.0,114743.0
110126.0,79938.0,118828.0,96275.0,108563.0,108563.0,112676.0,116764.0,118828.0,63547.0,63547.0
100450.0,118854.0,106540.0,96278.0,96275.0,96275.0,112678.0,100391.0,106540.0,108616.0,108616.0
